,product,reviewid,thumbsup,thumbsdown,shortreview,longreview,pros,cons,link
27,Used 2016 Audi A3,nashvilleitalian,13,0,"""Detailed review of 2019 A3 Quattro AWD""","So I’ve had my 2019 Audi A3 Quattro AWD for a few weeks now. Here are the things I love, and things I wish I could change. 

Things I love:
-Acceleration/speed/driving experience 
-Premium sound system (best feature of the car)
-WiFi built in plus wireless charging 
-The virtual cockpit (amazing when displaying Google Maps)

Here is what I am not so thrilled about:
-Cabin space - tiny glovebox, tiny trunk, center console is used up by the wireless charger - SPACE IS LIMITED
-Placement of cupholders - my large Yeti mug is too tall so I have to hold it while driving. Not very safe.. they should have put more thought into this design 
-Biggest pet peeve? I have a $47,000 car with every high end tech option as other model Audi’s (same virtual cock pit, same MyAudi / Audi Connect) yet Audi Corporate Office has refused to unlock “key user” functionality for the 2019 A3 model year!

What does this mean?
-I have a $47,000 vehicle with the same technology as the A4,A5 etc, yet they can use a mobile app to unlock doors, check gas levels, and track their vehicle in the event of theft, yet my A3 has the tech, but a decision by Audi “locks” loyal A3 customers from using very basic remote features due to them not having $50-150,000 MSRP model vehicles. 

Why the hate for the A3 customer community, Audi? 

Guess what I can do with the “MyAudi” app? I can view photos of my vehicle (wow), look at the original equipment installed (double wow) and set service appointments (triple wow). USELESS! 

The funny thing is, I would gladly pay a monthly fee to have a mobile app that actually linked to my vehicle as a key user. 

Maybe Audi will have a heart and push a firmware update that will allow 2019 customers to actually use the 2019 technology they paid a hefty price for to have in their A3’s? Time will tell...

Overall though, it’s not all sour grapes. The A3 Quattro is a beast of a machine and if Audi unlocked basic features for remote monitoring, I would be much happier and less bitter about my $47,000 purchase (when you add local taxes, destination delivery and dealer fees and maintenance / extended warranty, it’s actually a $55,000 purchase - just for the record).css-1h02fnl{-webkit-tap-highlight-color:rgba(127,159,218,.5);-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;color:#3666BD;display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-box-pack:start;-webkit-justify-content:flex-start;-ms-flex-pack:start;justify-content:flex-start;position:relative;-webkit-transform:translateY(0);-ms-transform:translateY(0);transform:translateY(0);margin-top:8px;}.css-1h02fnl span{cursor:pointer;}.css-1h02fnl span:hover{-webkit-text-decoration:underline;text-decoration:underline;}Read less.css-1qs95sv{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;margin:0;-webkit-transform:rotate3d(0,0,1,-180deg);-ms-transform:rotate3d(0,0,1,-180deg);transform:rotate3d(0,0,1,-180deg);-webkit-transition:-webkit-transform .5s;-webkit-transition:transform .5s;transition:transform .5s;}.css-1uff8uj-StyledIcon{color:#000000;height:19px;width:19px;fill:#3666BD;}","Speed, handling, overall driving experience",Remote app control/monitoring disabled in A3s!,https://www.kbb.com//audi/a3/2016/consumer-reviews/
28,Used 2016 Audi A3,NA,NA,NA,NA,NA,"Speed, handling, overall driving experience",Remote app control/monitoring disabled in A3s!,https://www.kbb.com//audi/a3/2016/consumer-reviews/
29,Used 2016 Audi A3,rick,3,5,"""Hate stop start feature.  CD in globe compartment""",Hate stop start feature.  CD in globe compartment can t reach driving. Cheap tires already replaced  no leg room  jerks.  Wouldn't ever own another!,Hate stop start feature. CD in globe compartment,,https://www.kbb.com//audi/a3/2016/consumer-reviews/
30,Used 2016 Audi A3,NA,NA,NA,NA,NA,Hate stop start feature. CD in globe compartment,,https://www.kbb.com//audi/a3/2016/consumer-reviews/
31,Used 2016 Audi A3,lexieeeee,8,2,"""Most practical car I've ever owned!""","This was my first purchase out of college in 2015, I had a 4 wheel drive Jeep with a huge engine and was looking for something more eco friendly for my beginner's wallet.  I was looking at ""affordable"" cars and stumbled upon this beauty.  It had been owned for 6 months (purchased new) as a fleet vehicle for a company that went under and had 15k miles on it, absolute mint condition basically brand new, but I got a deal because it was sitting at a Honda dealership.   

Firstly, I want to say, I have the ""bottom of the line"" model.  The smallest engine, no upgrades, just the base model...and WOW it still has all the upgrades of most premium domestic cars.  Leather seats, really cool dash set up, power seats, sun roof, etc.  It's a beautiful sleek car inside and out, and still has great pickup and control.

I've owned this car for 4 years now, in a rural area and now a big city.  The practicality of this car has only grown with me.  It's a cute sporty car for young professional, but would also make a practical family car when the time comes.  It's great in a big city, small enough to parallel park anywhere, handles the Boston snow with ease, and stops on a dime in traffic.  Backseat is small, but large enough my 6'4"" dad can fit. I also LOVE that I get anywhere from 35-45 MPG.  On average I'm getting 430 miles on my 11~ gallon tank!

The ONLY downside was going from a domestic car to a German.  General maintenance can be a little pricey, you need a key to open oil pan (can't change yourself), and it takes extra oil during a change, but you can also go twice as long between oil changes per the maintenance guidelines. However, I will say, I have had ZERO issues with the car outside of scheduled maintenance.  I had one recall (I never had an issue but my VIN was on the list) for the fuel sensor, took it to my local Audi and it was switched over in about 20 minutes. 

Overall a solid affordable car!Read less","Fun to Drive, Great MPG, Practical, Sport Shift",Maintenance Costs,https://www.kbb.com//audi/a3/2016/consumer-reviews/
32,Used 2016 Audi A3,NA,NA,NA,NA,NA,"Fun to Drive, Great MPG, Practical, Sport Shift",Maintenance Costs,https://www.kbb.com//audi/a3/2016/consumer-reviews/
33,Used 2016 Audi A3,juju,2,0,"""amazing""","Once you get into a German car you will always have one, the performance and styling of Audi has always been the best in my opinion. For 180HP geared to a dual clutch automatic DSG transmission you will feel like you are driving a luxury go kart with fancy wheels.","fast, comfortable, stylish, fun to drive",the payment,https://www.kbb.com//audi/a3/2016/consumer-reviews/
34,Used 2016 Audi A3,NA,NA,NA,NA,NA,"fast, comfortable, stylish, fun to drive",the payment,https://www.kbb.com//audi/a3/2016/consumer-reviews/
35,Used 2016 Audi A3,5H4RK,1,0,"""Doing what it's supposed to do""","Bought this car used with 15K mikes and have owned it for about 6 months.  Main goal was to reduce the amount of #x27;s I was spending on fuel.

I went from a full size SUV (Escalade) to a tiny A3 - a bit of a shocker initially but I'm past that.

My daily commute is about 50 miles round trip some on freeways and parts in heavy traffic.  I'm averaging just above 45 mpg which is pretty good compared to the EPA estimates (and my Escalade at 14mpg).

Car is quite luxurious and well bolted together.  I'd far rather have the A3 than a similarly frugal Golf or Jetta even if it would be a little cheaper.Read less","MPG, interior and general quality",No standard reversing camera,https://www.kbb.com//audi/a3/2016/consumer-reviews/
36,Used 2016 Audi A3,NA,NA,NA,NA,NA,"MPG, interior and general quality",No standard reversing camera,https://www.kbb.com//audi/a3/2016/consumer-reviews/
37,Used 2016 Audi A3,Brownson458,0,0,"""Quick, sleek, comfortable, efficient.""","What's not to like? This car get's 30mpg in town if you drive right. Amazing efficiency.  The car looks very sexy, as Audi's are known for. Power is right there when you need it, falls off slightly up top. Get it tuned and this car feels like it should have came from the factory. 

Bang and Olfsun sound system is incredible! Couldn't believe it's a factory system.

A recall was issued for quick disconnect fuel lines in the engine bay that may cause a fire. My VIN checked out okay.  Check this out before buying if possible :)

Comfortable up front, cramped in back. It's Audi's smallest sedan. 

Look into OBD-Eleven, you can tweak the all-wheel drive system, braking system, vehicle dynamics, DRLs, add features to digital cluster, etc.Read less","Small, efficient, sporty, good looks, tech loaded","Cramped back seat, jerky transmission when <32f",https://www.kbb.com//audi/a3/2016/consumer-reviews/
38,Used 2016 Audi A3,NA,NA,NA,NA,NA,"Small, efficient, sporty, good looks, tech loaded","Cramped back seat, jerky transmission when <32f",https://www.kbb.com//audi/a3/2016/consumer-reviews/
39,Used 2016 Audi A3,No Thanks Audi,9,8,"""2018 package pricing is a huge let down!""","I love the S3.  I test drove a few a couple of years ago and almost got one, but I decided to stick with BMW and got my 340i Msport instead.  However, since having the 340i I keep remembering how much I loved the S3.  So, I decided that in 3 years I would get an S3 and do a loan purchase.

So, the 2018 S3 specs and pricing came out and I was excited to build what I want and check the pricing.  I dont get a lot of options in my cars as I dont think most options in Euro, especially German cars, are worth the huge cost.  My wants are a nice auto trans, power leather seats, and a great audio system.

I go to Audis website and try to configure the S3.  I quickly discover that that excellent B&O audio that was about a 950 stand alone option is NO LONGER available as a stand-alone option.  Now, Audi wants me to pay 3,200 more for their technology package, thats full of options I DO NOT need nor want, like navigation and virtual cockpit.  

This of course increases the once reasonable price of a nicely equipped S3 tremendously.  And, the base price has gone up a good amount.  When I priced a 2017 S3 with premium metallic paint and B&O audio the MSRP was
45,375.  For 2018 MSRP is 47,825 because I have to get the tech pkg if I want the B&O audio.

The S3 used to be a great small performance sedan for a decent price.  Now, its a great small performance sedan that costs nearly 50K.  Audi will lose sales with this poorly setup options packaging and increased base price.

I can get a BMW M240i for nearly the same money and it will have a much better resale value when Im ready to sell or trade in 3 to 5 years.

No thanks Audi.Read less",Fun to drive,Too expensive for a small performance sedan,https://www.kbb.com//audi/a3/2016/consumer-reviews/
40,Used 2016 Audi A3,NA,NA,NA,NA,NA,Fun to drive,Too expensive for a small performance sedan,https://www.kbb.com//audi/a3/2016/consumer-reviews/
41,Used 2016 Audi A3,Happy driver,0,0,"""Beautiful compact sedan""","Recently purchased a 2017 Audi A3 sedan. I was very impressed with quality finish inside and out. Test drove BMW3, fell in love with Audi A3. Much nicer, softer ride, better acceleration and definitely better finish inside the cabin. Leather, heated seats, Apple CarPlay, Power moon roof, fully loaded. Basic BMW3 offers leatherette(vinyl) seats, No navigation or Apple CarPlay, unless you spend another 3000, which propels the price to well over 40K.","Nice, sporty ride, Excellent power, fully equipped",Seats could be little bit softer,https://www.kbb.com//audi/a3/2016/consumer-reviews/
42,Used 2016 Audi A3,NA,NA,NA,NA,NA,"Nice, sporty ride, Excellent power, fully equipped",Seats could be little bit softer,https://www.kbb.com//audi/a3/2016/consumer-reviews/
43,Used 2016 Audi A3,Steven,9,2,"""Really enjoying my new 2017 Audi A3 2.0T Quattro""","Just purchased a CPO 2017 Audi A3 2.0T Quattro and I am very impressed.  The ride and handling are excellent and the engine is smooth and responsive.  The duel clutch is very precise and when you floor the car it jets off with a very smooth sound and feel.  The leather steering wheel and leather seats feel so good and the sunroof is also really cool.  The infotainment system is complicated, but works well once you master it.  The standard sound system sounds great.  Overall I am very impressed and I love driving it and I love looking back at it after I park it.  It is a beautiful car inside and out.Read less","Ride, Styling, Acceleration, Seats/Steering Wheel",Auto Start Stop needs to be turned off daily,https://www.kbb.com//audi/a3/2016/consumer-reviews/
44,Used 2016 Audi A3,NA,NA,NA,NA,NA,"Ride, Styling, Acceleration, Seats/Steering Wheel",Auto Start Stop needs to be turned off daily,https://www.kbb.com//audi/a3/2016/consumer-reviews/
45,Used 2016 Audi A3,Para5,9,6,"""Fantastic Entry Level Audi""","Leasing a 2015 A3.  Performance/handling are excellent.  Tight, responsive steering and the car can move due to its light size.  Only real complaints relate to its very tight back seat and trunk quarters as well as its noise levels.  It really isn't a comfortable car for 4 adults to ride in.  Fine for kids in the back seat but trunk is too small to fit a family's belongings.  As for noise, its a slightly noisy car than one may anticipate.  Test drive on a highway going 75 or so and you'll notice.    Otherwise, fantastic little beast - go get it!Read less","Enjoyable to drive, tight steering, moves","Tight backseat/trunk, noisy interior",https://www.kbb.com//audi/a3/2016/consumer-reviews/
46,Used 2016 Audi A3,NA,NA,NA,NA,NA,"Enjoyable to drive, tight steering, moves","Tight backseat/trunk, noisy interior",https://www.kbb.com//audi/a3/2016/consumer-reviews/
47,Used 2016 Audi A3,ssgmike,6,4,"""drives like a sports car""","I'm in my last 8 months of leasing the 2015 A3. I love the car's handling, looks, sports car like drive, very good pickup from start, love the pop up LCD screen for radio and GPS which works 90% of the time. 
Only real 2 issues that I have for a car costing in the 30's to have a manual passenger seat and NO rear camera. As much as I love the A3 not sure what I will do at the end of my lease this coming June 2017. Down payments seem to be going up and up",great to drive,no rear camera and manual passenger seat on 2015 -,https://www.kbb.com//audi/a3/2016/consumer-reviews/
48,Used 2016 Audi A3,NA,NA,NA,NA,NA,great to drive,no rear camera and manual passenger seat on 2015 -,https://www.kbb.com//audi/a3/2016/consumer-reviews/
49,Used 2016 Audi A3,Jgolden,13,5,"""Solid Feel, Comfortable, Elegant, Confident""","I've had my A3 2.0T Quattro sedan for 7 months and 15000 miles.  First off, the car is regularly complimented as ""beautiful"".  I am drawn to the classic Audi design. The exterior is smooth, flowing, and gorgeous (there are no tacky fake vents, strange angles, deep creases or other fad-inspired styling gimmicks) and this makes it easy to wash the car by hand!  The interior design is pure calm, with thoughtful matte finishes, real aluminum accents, and controls which feel great to the touch.  All latches and mechanisms feel and sound sturdy.  I find the front seats very comfortable (no aches, no squirming around) even on extended highway trips such as travelling from Texas to Florida.   The overall performance is satisfying, as the 2.0 turbo and all wheel drive make for a confident driving experience.  Tire pressures are supposed to be set at 41 PSI on my model, but 35 PSI provides a greatly improved ride & handling experience.  Around town, with stop and go driving, you may notice the DSG transmission has a slight shudder when letting off the brake pedal...to roll forward... but it is normal and can be completely ignored after a few drives.  Rear seating is decent, but not a priority for the A3 buyer, though rear seat passengers do get their own AC and heater vents... a very nice touch.  This is NOT a big car, and it is not designed to haul growing families and bulky cargo, but I've used it to haul tons of beach gear, dogs, bark mulch, shovels, concrete landscaping pavers, you name it.  A car is still a tool, after all!   As a final point,  my dealer experiences have been superb, with super modern and clean facilities, car wash service, and great staff.Read less","Traction, handling, elegant design, interior feel",Interior storage cubbies are too small,https://www.kbb.com//audi/a3/2016/consumer-reviews/
50,Used 2016 Audi A3,NA,NA,NA,NA,NA,"Traction, handling, elegant design, interior feel",Interior storage cubbies are too small,https://www.kbb.com//audi/a3/2016/consumer-reviews/
51,Used 2016 Audi A3,Johnboyh55,24,16,"""Great for the Price!""",,NA,NA,https://www.kbb.com//audi/a3/2016/consumer-reviews/
52,Used 2016 Audi A3,Vigo,12,8,"""Great little car!!""","Test drove a 2015 A4 and liked it.
Saw this in dealer lot and was curious so I took it for a spin.
Surprised by the amount of interior room. Very much an AUDI.
A4 had more doo das and a bit more power, but for the money the A3 was my pick. Excellent driving dynamics. Has an ""eagerness"" to it; like a puppy tugging on a leash. Some road noise makes in into the cabin, but is tolerable.
All in all, very happy with this purchase.","well built,sunroof, xenon headlights, automatic AC","road noise, no back up camera, expensive options",https://www.kbb.com//audi/a3/2016/consumer-reviews/
53,Used 2016 Audi A3,NA,NA,NA,NA,NA,"well built,sunroof, xenon headlights, automatic AC","road noise, no back up camera, expensive options",https://www.kbb.com//audi/a3/2016/consumer-reviews/
54,Used 2016 Audi A3,New TDI Fan,6,7,"""Decent Car with Awesome Gas Milage""","I traded in my 2008 BMW 328I knowing that I would be trading horsepower for gas mileage. I was thinking that I didn't want to spend $50 a week on gas. Little did I know I gave up much when I bought the Audi. Gas mileage is phenomenal, at 50+ MPG from Los Angeles to Phoenix. The interior is magnificent! From the brown leather, to the dash, and the MMI.
My only problem with it is the horsepower, or lack of thereof. Nevertheless it delivers the gas mileage I was looking for, and would recommend it to a friend who was looking for fuel economy vice raw power.Read less","Gas Mileage, technology, Great interior",No real horsepower,https://www.kbb.com//audi/a3/2016/consumer-reviews/
55,Used 2016 Audi A3,NA,NA,NA,NA,NA,"Gas Mileage, technology, Great interior",No real horsepower,https://www.kbb.com//audi/a3/2016/consumer-reviews/
56,Used 2015 Honda Accord Hybrid,Skip,1,0,"""reliability""","My 2015 Honda Accord Hybrid is a reliable vehicle. I had to purchase a new battery and four tires since I bought the car. I have had no maintenance issues except for routine oil changes and tire rotation.
My only issue is that I expected a little better gas mileage beyond the average 45 miles per gallon","reliability,",dash board apps and blue tooth.,https://www.kbb.com//honda/accord-hybrid/2015/consumer-reviews/
57,Used 2015 Honda Accord Hybrid,NA,NA,NA,NA,NA,"reliability,",dash board apps and blue tooth.,https://www.kbb.com//honda/accord-hybrid/2015/consumer-reviews/
58,Used 2015 Honda Accord Hybrid,tnd2gen,0,0,"""61 mpg""",,NA,NA,https://www.kbb.com//honda/accord-hybrid/2015/consumer-reviews/
59,Used 2015 Honda Accord Hybrid,DannyK,4,1,"""Black Beauty, is the best car I've ever owned""","The only drawbacks, with this car, which I feel are minimal, is that it came with no spare tire, the trunk is slightly smaller, and the rear seats don't fold down.  After hitting a sink hole, in the winter of 2017, damaging both the right front tire, and blowing out my right rear tire, on a restricted highway, on a cold winter night, I bought a donut spare tire, with tire changing tools, both manual, and powered, which fit in the trunk, after removing the utility tray, and compressor provided, in the well below.  This car does get excellent mileage, in just about all situations.  I have put on over 46000 miles, since purchasing this car, in April 2017.  Mostly highway miles.  The large fuel capacity gives this car excellent range.  This car rides very well, is extremely comfortable, holds the road very well, has plenty of power, and has very easy access to both the front, and rear seats.  All of the electronics, and there is plenty, operate flawlessly.  The CVT simulates a real geared transmission very well.  Since there is a great deal that can eventually go wrong with this car, I bought, through Honda, an extended warranty, since I've obviously already passed the conventional 36,000 total car warranty mileage..css-1h02fnl{-webkit-tap-highlight-color:rgba(127,159,218,.5);-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;color:#3666BD;display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-box-pack:start;-webkit-justify-content:flex-start;-ms-flex-pack:start;justify-content:flex-start;position:relative;-webkit-transform:translateY(0);-ms-transform:translateY(0);transform:translateY(0);margin-top:8px;}.css-1h02fnl span{cursor:pointer;}.css-1h02fnl span:hover{-webkit-text-decoration:underline;text-decoration:underline;}Read less.css-1qs95sv{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;margin:0;-webkit-transform:rotate3d(0,0,1,-180deg);-ms-transform:rotate3d(0,0,1,-180deg);transform:rotate3d(0,0,1,-180deg);-webkit-transition:-webkit-transform .5s;-webkit-transition:transform .5s;transition:transform .5s;}.css-1uff8uj-StyledIcon{color:#000000;height:19px;width:19px;fill:#3666BD;}","Comfort, reliability, mileage, range, handling","No spare, smaller trunk, non fold down rear seats",https://www.kbb.com//honda/accord-hybrid/2015/consumer-reviews/
60,Used 2015 Honda Accord Hybrid,NA,NA,NA,NA,NA,"Comfort, reliability, mileage, range, handling","No spare, smaller trunk, non fold down rear seats",https://www.kbb.com//honda/accord-hybrid/2015/consumer-reviews/
61,Used 2015 Honda Accord Hybrid,Hogan,1,1,"""Love the hybrid, wonderful gas mileage""",,NA,NA,https://www.kbb.com//honda/accord-hybrid/2015/consumer-reviews/
